QuarterCode,QuarterName,FinancialYear,AreaCode,AreaName,WasteManagementGroup,DataStatus,"Local authority collected municipal waste arisings (tonnes), KPI(j)",Local authority collected municipal waste preparing for reuse (tonnes),Local authority collected municipal waste dry recycling (tonnes),Local authority collected municipal waste composting (tonnes),Local authority collected municipal waste dry recycling and composting (tonnes),"Local authority collected municipal waste preparing for reuse, dry recycling and composting (tonnes)","Local authority collected municipal waste dry recycling and composting rate (%), KPI(e)",Local authority collected municipal waste energy recovery for mixed residual (tonnes),Local authority collected municipal waste energy recovery for specific streams e.g. wood (tonnes),Local authority collected municipal waste energy recovery rate (%),Local authority collected municipal waste landfilled (tonnes),"Local authority collected municipal waste landfill rate (%), KPI(f)","Biodegradable local authority collected municipal waste to landfill (tonnes), KPI(g)",NILAS financial year allocation before transfers (tonnes),NILAS financial year allocation after transfers (tonnes),Household waste arisings (tonnes),Household waste preparing for reuse (tonnes),Household waste dry recycling (tonnes),Household waste composting (tonnes),Household waste dry recycling and composting (tonnes),"Household waste preparing for reuse, dry recycling and composting (tonnes)","Household waste dry recycling and composting rate (%), KPI(a)",Household waste landfilled (tonnes),"Household waste landfill rate (%), KPI(b)",Number of households,"Household waste arisings per household (kilogrammes per household), KPI(h)",Population,"Household waste arisings per capita (kilogrammes per capita), KPI(p)",Waste from households recycling (including preparing for reuse and composting) (tonnes),Waste from households arisings (tonnes),Waste from households recycling rate (including preparing for reuse and composting) (%),year
Q1,April to June,2006/07,95AA,Antrim,arc21 (pre April 2015),Finalised,9885,0,2542,2353,4895,0,49.5,0,0,0,4990,50.5,0,0,0,8595,0,1716,2353,4069,0,47.3,4525,52.6,0,0,51059,168,0,0,0,2006
Q1,April to June,2006/07,95BB,Ards,arc21 (pre April 2015),Finalised,13137,0,1231,2191,3422,0,26,0,0,0,9715,74,0,0,0,12357,0,1167,2191,3358,0,27.2,8998,72.8,0,0,75767,163,0,0,0,2006
Q1,April to June,2006/07,95CC,Armagh,SWaMP2008,Finalised,7912,0,1443,1116,2559,0,32.3,0,0,0,5353,67.7,0,0,0,6997,0,980,1116,2096,0,30,4900,70,0,0,56785,123,0,0,0,2006
Q1,April to June,2006/07,95DD,Ballymena,arc21 (pre April 2015),Finalised,10072,0,1466,1511,2977,0,29.6,0,0,0,7094,70.4,0,0,0,9502,0,1466,1511,2977,0,31.3,6525,68.7,0,0,61447,155,0,0,0,2006
Q1,April to June,2006/07,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,3772,0,550,0,550,0,14.6,0,0,0,3222,85.4,0,0,0,3286,0,550,0,550,0,16.7,2735,83.2,0,0,29392,112,0,0,0,2006
Q1,April to June,2006/07,95FF,Banbridge,SWaMP2008,Finalised,7390,0,981,2581,3562,0,48.2,0,0,0,3795,51.4,0,0,0,7149,0,981,2581,3562,0,49.8,3554,49.7,0,0,45290,158,0,0,0,2006
Q1,April to June,2006/07,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,44114,0,4708,3157,7865,0,17.8,0,0,0,36249,82.2,0,0,0,38754,0,4572,3154,7726,0,19.9,31028,80.1,0,0,274239,141,0,0,0,2006
Q1,April to June,2006/07,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,6669,0,674,756,1431,0,21.5,0,0,0,5238,78.5,0,0,0,5913,0,674,756,1431,0,24.2,4482,75.8,0,0,39056,151,0,0,0,2006
Q1,April to June,2006/07,95II,Castlereagh,arc21 (pre April 2015),Finalised,8946,0,1782,1864,3647,0,40.8,0,0,0,5300,59.2,0,0,0,8302,0,1483,1864,3347,0,40.3,4955,59.7,0,0,66009,126,0,0,0,2006
Q1,April to June,2006/07,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,11590,0,1374,1200,2574,0,22.2,0,0,0,9016,77.8,0,0,0,9939,0,1374,1200,2574,0,25.9,7365,74.1,0,0,57894,172,0,0,0,2006
Q1,April to June,2006/07,95KK,Cookstown,SWaMP2008,Finalised,5484,0,1016,582,1598,0,29.1,0,0,0,3885,70.8,0,0,0,4970,0,976,582,1558,0,31.4,3410,68.6,0,0,34587,144,0,0,0,2006
Q1,April to June,2006/07,95LL,Craigavon,SWaMP2008,Finalised,14599,0,2329,1971,4299,0,29.5,0,0,0,10299,70.5,0,0,0,13081,0,2329,1971,4299,0,32.9,8781,67.1,0,0,86086,152,0,0,0,2006
Q1,April to June,2006/07,95MM,Derry,NWRWMG (pre April 2015),Finalised,15329,0,3495,274,3769,0,24.6,0,0,0,11560,75.4,0,0,0,13827,0,3243,274,3517,0,25.4,10310,74.6,0,0,107060,129,0,0,0,2006
Q1,April to June,2006/07,95NN,Down,arc21 (pre April 2015),Finalised,9505,0,1680,1441,3120,0,32.8,0,0,0,6385,67.2,0,0,0,8030,0,1680,1424,3104,0,38.7,4926,61.3,0,0,67142,120,0,0,0,2006
Q1,April to June,2006/07,95OO,Dungannon,SWaMP2008,Finalised,7846,0,954,856,1810,0,23.1,0,0,0,6036,76.9,0,0,0,7722,0,954,856,1810,0,23.4,5912,76.6,0,0,52158,148,0,0,0,2006
Q1,April to June,2006/07,95PP,Fermanagh,SWaMP2008,Finalised,11125,0,1915,1614,3528,0,31.7,0,0,0,7568,68,0,0,0,8971,0,1710,1614,3324,0,37.1,5619,62.6,0,0,59640,150,0,0,0,2006
Q1,April to June,2006/07,95QQ,Larne,arc21 (pre April 2015),Finalised,5951,0,805,843,1648,0,27.7,0,0,0,4303,72.3,0,0,0,5450,0,789,843,1632,0,29.9,3818,70.1,0,0,31518,173,0,0,0,2006
Q1,April to June,2006/07,95RR,Limavady,NWRWMG (pre April 2015),Finalised,5566,0,1249,244,1494,0,26.8,0,0,0,4072,73.2,0,0,0,4663,0,1096,244,1340,0,28.7,3323,71.3,0,0,33620,139,0,0,0,2006
Q1,April to June,2006/07,95SS,Lisburn,arc21 (pre April 2015),Finalised,18435,0,2835,2187,5022,0,27.2,0,0,0,13413,72.8,0,0,0,16251,0,2211,2187,4398,0,27.1,12010,73.9,0,0,113588,143,0,0,0,2006
Q1,April to June,2006/07,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,6477,0,1112,902,2014,0,31.1,0,0,0,4463,68.9,0,0,0,5398,0,1028,902,1930,0,35.8,3467,64.2,0,0,42123,128,0,0,0,2006
Q1,April to June,2006/07,95UU,Moyle,NWRWMG (pre April 2015),Finalised,2903,0,304,376,680,0,23.4,0,0,0,2222,76.6,0,0,0,2358,0,304,376,680,0,28.8,1678,71.2,0,0,16532,143,0,0,0,2006
Q1,April to June,2006/07,95VV,Newry and Mourne,SWaMP2008,Finalised,13884,0,2146,1793,3938,0,28.4,0,0,0,9946,71.6,0,0,0,11869,0,1697,1793,3490,0,29.4,8379,70.6,0,0,93410,127,0,0,0,2006
Q1,April to June,2006/07,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,15059,0,1357,2120,3478,0,23.1,0,0,0,11582,76.9,0,0,0,13926,0,1331,2120,3451,0,24.8,10474,75.2,0,0,82157,170,0,0,0,2006
Q1,April to June,2006/07,95XX,North Down,arc21 (pre April 2015),Finalised,15488,0,1944,2275,4218,0,27.2,0,0,0,9935,64.1,0,0,0,12635,0,1944,2275,4218,0,33.4,8281,65.5,0,0,78055,162,0,0,0,2006
Q1,April to June,2006/07,95YY,Omagh,SWaMP2008,Finalised,6551,0,872,418,1289,0,19.7,0,0,0,5261,80.3,0,0,0,5711,0,872,418,1289,0,22.6,4422,77.4,0,0,49704,115,0,0,0,2006
Q1,April to June,2006/07,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,5805,0,891,347,1237,0,21.3,0,0,0,4567,78.7,0,0,0,5134,0,886,347,1233,0,24,3901,76,0,0,38795,132,0,0,0,2006
Q1,April to June,2006/07,NI,Northern Ireland,0,Finalised,283493,0,41656,34970,76626,0,27,0,0,0,205470,72.5,0,0,0,250786,0,38014,34951,72965,0,29.1,177780,70.9,0,0,1743113,144,0,0,0,2006
Q2,July to September,2006/07,95AA,Antrim,arc21 (pre April 2015),Finalised,9665,0,2373,2564,4937,0,51.1,0,0,0,4729,48.9,0,0,0,8458,0,1749,2564,4313,0,51,4145,49,0,0,51059,166,0,0,0,2006
Q2,July to September,2006/07,95BB,Ards,arc21 (pre April 2015),Finalised,12930,0,1311,2231,3542,0,27.4,0,0,0,9388,72.6,0,0,0,12182,0,1253,2231,3484,0,28.6,8698,71.4,0,0,75767,161,0,0,0,2006
Q2,July to September,2006/07,95CC,Armagh,SWaMP2008,Finalised,7423,0,1556,1342,2898,0,39,0,0,0,4525,61,0,0,0,6547,0,1103,1342,2445,0,37.3,4102,62.7,0,0,56785,115,0,0,0,2006
Q2,July to September,2006/07,95DD,Ballymena,arc21 (pre April 2015),Finalised,9990,0,1418,1628,3046,0,30.5,0,0,0,6945,69.5,0,0,0,9420,0,1418,1628,3046,0,32.3,6374,67.7,0,0,61447,153,0,0,0,2006
Q2,July to September,2006/07,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,4521,0,540,905,1445,0,32,0,0,0,3076,68,0,0,0,4058,0,540,905,1445,0,35.6,2613,64.4,0,0,29392,138,0,0,0,2006
Q2,July to September,2006/07,95FF,Banbridge,SWaMP2008,Finalised,6837,0,1037,2152,3189,0,46.6,0,0,0,3617,52.9,0,0,0,6588,0,993,2152,3145,0,47.7,3412,51.8,0,0,45290,145,0,0,0,2006
Q2,July to September,2006/07,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,41907,0,4626,3059,7685,0,18.3,0,0,0,34221,81.7,0,0,0,37434,0,4544,2994,7538,0,20.1,29896,79.9,0,0,274239,137,0,0,0,2006
Q2,July to September,2006/07,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,6401,0,633,800,1433,0,22.4,0,0,0,4968,77.6,0,0,0,5670,0,633,800,1433,0,25.3,4237,74.7,0,0,39056,145,0,0,0,2006
Q2,July to September,2006/07,95II,Castlereagh,arc21 (pre April 2015),Finalised,9202,0,1729,1929,3659,0,39.8,0,0,0,5518,60,0,0,0,8683,0,1401,1929,3330,0,38.4,5328,61.4,0,0,66009,132,0,0,0,2006
Q2,July to September,2006/07,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,11252,0,1326,1125,2451,0,21.8,0,0,0,8801,78.2,0,0,0,10767,0,1326,1125,2451,0,22.8,8317,77.2,0,0,57894,186,0,0,0,2006
Q2,July to September,2006/07,95KK,Cookstown,SWaMP2008,Finalised,5260,0,919,673,1592,0,30.3,0,0,0,3668,69.7,0,0,0,4765,0,878,673,1551,0,32.5,3215,67.5,0,0,34587,138,0,0,0,2006
Q2,July to September,2006/07,95LL,Craigavon,SWaMP2008,Finalised,14512,0,2187,1742,3929,0,27.1,0,0,0,10583,72.9,0,0,0,12625,0,2187,1742,3929,0,31.1,8696,68.9,0,0,86086,147,0,0,0,2006
Q2,July to September,2006/07,95MM,Derry,NWRWMG (pre April 2015),Finalised,14994,0,3378,194,3573,0,23.8,0,0,0,11421,76.2,0,0,0,13506,0,3140,194,3335,0,24.7,10171,75.3,0,0,107060,126,0,0,0,2006
Q2,July to September,2006/07,95NN,Down,arc21 (pre April 2015),Finalised,8954,0,1497,1036,2533,0,28.3,0,0,0,6421,71.7,0,0,0,7629,0,1497,1025,2522,0,33.1,5106,66.9,0,0,67142,114,0,0,0,2006
Q2,July to September,2006/07,95OO,Dungannon,SWaMP2008,Finalised,8272,0,1129,1107,2236,0,27,0,0,0,6036,73,0,0,0,7887,0,1129,1107,2236,0,28.4,5650,71.6,0,0,52158,151,0,0,0,2006
Q2,July to September,2006/07,95PP,Fermanagh,SWaMP2008,Finalised,9727,0,1629,379,2009,0,20.7,0,0,0,7684,79,0,0,0,7609,0,1397,379,1776,0,23.3,5799,76.2,0,0,59640,128,0,0,0,2006
Q2,July to September,2006/07,95QQ,Larne,arc21 (pre April 2015),Finalised,5878,0,863,966,1829,0,31.1,0,0,0,4050,68.9,0,0,0,4940,0,822,966,1788,0,36.2,3152,63.8,0,0,31518,157,0,0,0,2006
Q2,July to September,2006/07,95RR,Limavady,NWRWMG (pre April 2015),Finalised,4003,0,1045,280,1325,0,33.1,0,0,0,2678,66.9,0,0,0,3896,0,940,280,1220,0,31.3,2676,68.7,0,0,33620,116,0,0,0,2006
Q2,July to September,2006/07,95SS,Lisburn,arc21 (pre April 2015),Finalised,18132,0,2562,2446,5008,0,27.6,0,0,0,13123,72.4,0,0,0,16286,0,2101,2446,4547,0,27.9,11853,72.8,0,0,113588,143,0,0,0,2006
Q2,July to September,2006/07,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,6255,0,1365,957,2322,0,37.1,0,0,0,3933,62.9,0,0,0,5256,0,1068,957,2024,0,38.5,3232,61.5,0,0,42123,125,0,0,0,2006
Q2,July to September,2006/07,95UU,Moyle,NWRWMG (pre April 2015),Finalised,3069,0,322,436,758,0,24.7,0,0,0,2311,75.3,0,0,0,2319,0,322,436,758,0,32.7,1561,67.3,0,0,16532,140,0,0,0,2006
Q2,July to September,2006/07,95VV,Newry and Mourne,SWaMP2008,Finalised,13706,0,2184,1404,3588,0,26.2,0,0,0,10118,73.8,0,0,0,11757,0,1862,1404,3266,0,27.8,8491,72.2,0,0,93410,126,0,0,0,2006
Q2,July to September,2006/07,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,14192,0,1398,2206,3604,0,25.4,0,0,0,10589,74.6,0,0,0,12876,0,1370,2206,3576,0,27.8,9301,72.2,0,0,82157,157,0,0,0,2006
Q2,July to September,2006/07,95XX,North Down,arc21 (pre April 2015),Finalised,15304,0,2149,2387,4535,0,29.6,0,0,0,9452,61.8,0,0,0,12319,0,2149,2387,4535,0,36.8,7784,63.2,0,0,78055,158,0,0,0,2006
Q2,July to September,2006/07,95YY,Omagh,SWaMP2008,Finalised,6911,0,837,994,1831,0,26.5,0,0,0,5080,73.5,0,0,0,6065,0,837,994,1831,0,30.2,4234,69.8,0,0,49704,122,0,0,0,2006
Q2,July to September,2006/07,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,5856,0,912,365,1277,0,21.8,0,0,0,4579,78.2,0,0,0,5114,0,899,365,1264,0,24.7,3850,75.3,0,0,38795,132,0,0,0,2006
Q2,July to September,2006/07,NI,Northern Ireland,0,Finalised,275153,0,40924,35307,76231,0,27.7,0,0,0,197515,71.8,0,0,0,244655,0,37557,35232,72788,0,29.8,171890,70.3,0,0,1743113,140,0,0,0,2006
Q3,October to December,2006/07,95AA,Antrim,arc21 (pre April 2015),Finalised,8506,0,2032,1711,3743,0,44,0,0,0,4763,56,0,0,0,7586,0,1722,1711,3432,0,45.2,4153,54.8,0,0,51059,149,0,0,0,2006
Q3,October to December,2006/07,95BB,Ards,arc21 (pre April 2015),Finalised,10748,0,1299,1228,2527,0,23.5,0,0,0,8221,76.5,0,0,0,10065,0,1215,1228,2443,0,24.3,7622,75.7,0,0,75767,133,0,0,0,2006
Q3,October to December,2006/07,95CC,Armagh,SWaMP2008,Finalised,6849,0,1507,747,2255,0,32.9,0,0,0,4594,67.1,0,0,0,6080,0,1135,747,1883,0,31,4198,69,0,0,56785,107,0,0,0,2006
Q3,October to December,2006/07,95DD,Ballymena,arc21 (pre April 2015),Finalised,9209,0,1229,1077,2306,0,25,0,0,0,6903,75,0,0,0,8639,0,1229,1077,2306,0,26.7,6332,73.3,0,0,61447,141,0,0,0,2006
Q3,October to December,2006/07,95EE,Ballymoney,NWRWMG (pre April 2015),Finalised,3820,0,509,250,759,0,19.9,0,0,0,3004,78.6,0,0,0,3371,0,509,250,759,0,22.5,2612,77.5,0,0,29392,115,0,0,0,2006
Q3,October to December,2006/07,95FF,Banbridge,SWaMP2008,Finalised,6105,0,1000,1553,2553,0,41.8,0,0,0,3521,57.7,0,0,0,5894,0,1000,1553,2553,0,43.3,3310,56.2,0,0,45290,130,0,0,0,2006
Q3,October to December,2006/07,95GG,Belfast (pre April 2015),arc21 (pre April 2015),Finalised,41226,0,4822,1399,6221,0,15.1,0,0,0,35005,84.9,0,0,0,35105,0,4722,1399,6121,0,17.4,28983,82.6,0,0,274239,128,0,0,0,2006
Q3,October to December,2006/07,95HH,Carrickfergus,arc21 (pre April 2015),Finalised,5650,0,666,301,968,0,17.1,0,0,0,4683,82.9,0,0,0,5064,0,666,301,968,0,19.1,4097,80.9,0,0,39056,130,0,0,0,2006
Q3,October to December,2006/07,95II,Castlereagh,arc21 (pre April 2015),Finalised,7788,0,1519,967,2486,0,31.9,0,0,0,5287,67.9,0,0,0,7387,0,1379,967,2346,0,31.8,5026,68,0,0,66009,112,0,0,0,2006
Q3,October to December,2006/07,95JJ,Coleraine,NWRWMG (pre April 2015),Finalised,9952,0,1373,975,2348,0,23.6,0,0,0,7604,76.4,0,0,0,8431,0,1373,975,2348,0,27.8,6083,72.1,0,0,57894,146,0,0,0,2006
Q3,October to December,2006/07,95KK,Cookstown,SWaMP2008,Finalised,5424,0,946,588,1534,0,28.3,0,0,0,3661,67.5,0,0,0,4572,0,901,588,1489,0,32.6,3083,67.4,0,0,34587,132,0,0,0,2006
Q3,October to December,2006/07,95LL,Craigavon,SWaMP2008,Finalised,12942,0,2171,1194,3365,0,26,0,0,0,9577,74,0,0,0,11332,0,2171,1194,3365,0,29.7,7967,70.3,0,0,86086,132,0,0,0,2006
Q3,October to December,2006/07,95MM,Derry,NWRWMG (pre April 2015),Finalised,15315,0,3171,24,3195,0,20.9,0,0,0,12120,79.1,0,0,0,13864,0,2970,24,2994,0,21.6,10870,78.4,0,0,107060,129,0,0,0,2006
Q3,October to December,2006/07,95NN,Down,arc21 (pre April 2015),Finalised,8508,0,1518,642,2160,0,25.4,0,0,0,6348,74.6,0,0,0,7241,0,1518,642,2160,0,29.8,5081,70.2,0,0,67142,108,0,0,0,2006
Q3,October to December,2006/07,95OO,Dungannon,SWaMP2008,Finalised,7620,0,1101,676,1777,0,23.3,0,0,0,5843,76.7,0,0,0,6991,0,1101,655,1756,0,25.1,5235,74.9,0,0,52158,134,0,0,0,2006
Q3,October to December,2006/07,95PP,Fermanagh,SWaMP2008,Finalised,9318,0,1360,709,2068,0,22.2,0,0,0,7248,77.8,0,0,0,7279,0,1117,709,1826,0,25.1,5452,74.9,0,0,59640,122,0,0,0,2006
Q3,October to December,2006/07,95QQ,Larne,arc21 (pre April 2015),Finalised,5071,0,903,454,1357,0,26.8,0,0,0,3714,73.2,0,0,0,4197,0,814,454,1268,0,30.2,2929,69.8,0,0,31518,133,0,0,0,2006
Q3,October to December,2006/07,95RR,Limavady,NWRWMG (pre April 2015),Finalised,4533,0,1018,167,1186,0,26.2,0,0,0,3347,73.8,0,0,0,3681,0,913,167,1080,0,29.3,2600,70.6,0,0,33620,109,0,0,0,2006
Q3,October to December,2006/07,95SS,Lisburn,arc21 (pre April 2015),Finalised,16005,0,2626,1286,3912,0,24.4,0,0,0,12093,75.6,0,0,0,14041,0,2114,1286,3401,0,24.2,10641,75.8,0,0,113588,124,0,0,0,2006
Q3,October to December,2006/07,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,5865,0,1168,741,1908,0,32.5,0,0,0,3957,67.5,0,0,0,4943,0,988,741,1728,0,35,3215,65,0,0,42123,117,0,0,0,2006
Q3,October to December,2006/07,95UU,Moyle,NWRWMG (pre April 2015),Finalised,2395,0,235,125,360,0,15,0,0,0,2035,85,0,0,0,1839,0,235,125,360,0,19.6,1478,80.4,0,0,16532,111,0,0,0,2006
