QuarterCode,QuarterName,FinancialYear,AreaCode,AreaName,WasteManagementGroup,DataStatus,"Local authority collected municipal waste arisings (tonnes), KPI(j)",Local authority collected municipal waste preparing for reuse (tonnes),Local authority collected municipal waste dry recycling (tonnes),Local authority collected municipal waste composting (tonnes),Local authority collected municipal waste dry recycling and composting (tonnes),"Local authority collected municipal waste preparing for reuse, dry recycling and composting (tonnes)","Local authority collected municipal waste dry recycling and composting rate (%), KPI(e)",Local authority collected municipal waste energy recovery for mixed residual (tonnes),Local authority collected municipal waste energy recovery for specific streams e.g. wood (tonnes),Local authority collected municipal waste energy recovery rate (%),Local authority collected municipal waste landfilled (tonnes),"Local authority collected municipal waste landfill rate (%), KPI(f)","Biodegradable local authority collected municipal waste to landfill (tonnes), KPI(g)",NILAS financial year allocation before transfers (tonnes),NILAS financial year allocation after transfers (tonnes),Household waste arisings (tonnes),Household waste preparing for reuse (tonnes),Household waste dry recycling (tonnes),Household waste composting (tonnes),Household waste dry recycling and composting (tonnes),"Household waste preparing for reuse, dry recycling and composting (tonnes)","Household waste dry recycling and composting rate (%), KPI(a)",Household waste landfilled (tonnes),"Household waste landfill rate (%), KPI(b)",Number of households,"Household waste arisings per household (kilogrammes per household), KPI(h)",Population,"Household waste arisings per capita (kilogrammes per capita), KPI(p)",Waste from households recycling (including preparing for reuse and composting) (tonnes),Waste from households arisings (tonnes),Waste from households recycling rate (including preparing for reuse and composting) (%),year
Q2,July to September,2012/13,95TT,Magherafelt,NWRWMG (pre April 2015),Finalised,6598,0,1885,2091,3976,3976,60.3,962,158,17,1502,22.8,652,7983,7983,5745,0,1460,2091,3551,3551,61.8,1243,21.6,15299,376,45450,126,0,0,0,2012
Q2,July to September,2012/13,95UU,Moyle,NWRWMG (pre April 2015),Finalised,2670,0,538,479,1017,1017,38.1,0,62,2.3,1590,59.6,939,3134,3534,2399,0,498,479,977,977,40.7,1360,56.7,6934,346,17129,140,0,0,0,2012
Q2,July to September,2012/13,95VV,Newry and Mourne,SWaMP2008,Finalised,11901,0,2492,2108,4600,4600,38.7,239,0,2,7053,59.3,4043,17422,18019,10599,0,2472,2108,4580,4580,43.2,5815,54.9,35279,300,100858,105,0,0,0,2012
Q2,July to September,2012/13,95WW,Newtownabbey,arc21 (pre April 2015),Finalised,11970,0,2238,3569,5808,5808,48.5,222,190,3.4,5712,47.7,2354,14934,14750,10913,0,2134,3541,5675,5675,52,4831,44.3,34447,317,85322,128,0,0,0,2012
Q2,July to September,2012/13,95XX,North Down,arc21 (pre April 2015),Finalised,13910,38,2902,3594,6496,6534,46.7,63,464,3.8,6849,49.2,3106,14259,14087,11490,38,1799,3544,5343,5381,46.5,5606,48.8,33078,347,79420,145,0,0,0,2012
Q2,July to September,2012/13,95YY,Omagh,SWaMP2008,Finalised,6559,0,1771,1340,3111,3111,47.4,53,20,1.1,3323,50.7,1806,9442,9442,6013,0,1562,1340,2902,2902,48.3,2996,49.8,19242,312,51830,116,0,0,0,2012
Q2,July to September,2012/13,95ZZ,Strabane,NWRWMG (pre April 2015),Finalised,4330,0,959,372,1331,1331,30.7,348,246,13.7,2405,55.6,1472,7330,7330,3749,0,903,372,1275,1275,34,1948,51.9,15243,246,40033,94,0,0,0,2012
Q2,July to September,2012/13,NI,Northern Ireland,0,Finalised,247487,187,53093,52847,105940,106126,42.8,9344,3339,5.1,128249,51.8,66999,320000,320000,218742,187,43725,52547,96273,96459,44,110580,50.6,715565,306,1823634,120,0,0,0,2012
Q3,October to December,2012/13,95AA,Antrim,arc21 (pre April 2015),Finalised,8056,21,2355,1845,4200,4221,52.1,54,107,2,3655,45.4,1641,9261,9043,6617,21,1257,1845,3102,3123,46.9,3321,50.2,19861,333,53835,123,0,0,0,2012
Q3,October to December,2012/13,95BB,Ards,arc21 (pre April 2015),Finalised,9484,3,1625,1470,3095,3098,32.6,49,228,2.9,6109,64.4,3464,14230,14061,8826,3,1563,1470,3033,3036,34.4,5526,62.6,32128,275,78550,112,0,0,0,2012
